,S_1_COMID,S_1_unitarea,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1496,35006934,94.00360578160705,71.2188726332632,179.59804554702802,23,71.2188726332632,179.59804554702802,23,94003702.20767637,23,59039.0,71.25,179.5,250284379.84167224,59039,55308310.94835527,0.5883631138927503,0.22098187263361316,0.5883631138927515,0.2304972831738171
1501,35002275,47.492228612807935,69.46156438353246,177.10284758162447,24,69.46156438353246,177.10284758162447,24,47492233.300631456,24,69109.0,69.5,177.0,272613164.4705422,69109,29250850.69848338,0.6159080899253997,0.10729801238796795,0.6159080899254015,0.12354743469121486
1500,35002275,47.492228612807935,69.46156438353246,177.10284758162447,24,69.46156438353246,177.10284758162447,24,47492233.300631456,24,69110.0,69.5,177.25,272613164.4705422,69110,18241382.60214794,0.3840919100745975,0.0669130657632605,0.3840919100745986,0.08662728040709036
1504,35028291,105.71060430246885,65.98632457016085,184.61504367720468,25,65.98632457016085,184.61504367720468,25,105710611.29790476,25,87859.0,66.0,-175.5,316435055.5143934,87859,56849842.21029282,0.5377874700779411,0.17965721945022284,0.5377874700779403,0.17965721945022287
1503,35028291,105.71060430246885,65.98632457016085,184.61504367720468,25,65.98632457016085,184.61504367720468,25,105710611.29790476,25,87860.0,66.0,-175.25,316435055.51444227,87860,48860769.08761211,0.46221252992206047,0.15441010165001165,0.46221252992205974,0.1544101016500116
1507,35000849,64.9020349476309,71.21302653043693,182.27258439226122,26,71.21302653043693,182.27258439226122,26,64901997.96959891,26,57609.0,71.25,-178.0,250284379.84167224,57609,143592.811396372,0.0022124559472519335,0.0005737186295333636,0.002212455947251933,0.0006543504856639042
1505,35000849,64.9020349476309,71.21302653043693,182.27258439226122,26,71.21302653043693,182.27258439226122,26,64901997.96959891,26,57611.0,71.25,-177.5,250284379.8416722,57611,4991734.417863611,0.07691187596723625,0.019944250700029063,0.07691187596723624,0.9428044583612749
1506,35000849,64.9020349476309,71.21302653043693,182.27258439226122,26,71.21302653043693,182.27258439226122,26,64901997.96959891,26,57610.0,71.25,-177.75,250284379.8417109,57610,59766670.74033895,0.9208756680855121,0.23879504896844783,0.9208756680855119,0.4696750288052243
1510,35027269,32.30192542888052,67.75991464032428,183.252890155353,27,67.75991464032428,183.252890155353,27,32301941.78836369,27,77774.0,67.75,-176.75,294670503.8072472,77774,32301941.78836373,1.000000000000001,0.10962054691939371,1.0,0.10962054691939369
1512,35000854,53.09293356644763,71.21650764293342,180.4339183587806,28,71.21650764293342,180.4339183587806,28,53092934.908317626,28,57603.0,71.25,-179.5,250284379.8416722,57603,45727670.49113952,0.8612759978348034,0.18270285392986355,0.8612759978348028,0.18270285392986357
